Location,Period,Suicide_per_100000,Male,Female,PSEGDP,Old_Age,Survivors,Incapacity,Family,Labour,Unemployment,Housing,Health,Other,Total_GDP
Belgium,2006,20.2,29,11.8,25.238,7.094,1.925,2.126,2.586,0.634,3.171,0.129,6.808,0.765,4.58231E+11
Canada,2006,11.2,16.9,5.7,16.347,3.608,0.386,0.881,1.186,0.295,0.574,0.402,6.4,2.614,1.49365E+12
Chile,2006,10,16.9,3.4,8.258,2.492,0.776,0.679,0.819,0.202,0.032,0.523,2.495,0.238,5.45009E+11
Denmark,2006,14.7,20.2,9.3,24.961,8.291,0.008,4.395,3.454,1.457,0,0.636,5.904,0.817,1.93128E+11
Estonia,2006,20.9,34.8,8.8,12.455,5.24,0.101,1.714,1.683,0.071,0.064,0.039,3.465,0.078,3.32508E+12
Finland,2006,21,32,10.5,23.74,8.192,0.833,3.565,2.8,0.866,1.769,0.254,4.925,0.537,3.31091E+11
France,2006,18.5,26.8,10.6,28.431,10.532,1.654,1.567,2.87,0.929,1.425,0.78,8.028,0.645,1.41009E+12
Germany,2006,12.8,19.2,6.6,25.106,8.63,2.176,1.857,1.743,0.94,1.626,0.67,7.319,0.144,21951864649
Greece,2006,3.7,6.1,1.2,19.379,9.588,1.783,1.393,0.74,0.151,0.566,0.07,5.088,0,2.47538E+11
Hungary,2006,24.9,39.5,11.8,22.148,7.785,1.27,2.762,3.263,0.335,0.573,0.521,5.512,0.126,2.59896E+12
Iceland,2006,12.5,17.1,7.8,15.347,3.499,0.025,2.526,3.006,0.082,0.197,0.181,5.452,0.378,2.48243E+12
Ireland,2006,10.9,17.3,4.5,15.371,2.534,0.801,1.744,2.234,0.594,0.937,0.343,5.847,0.336,3.21534E+11
Israel,2006,5.5,8.3,2.7,15.183,4.436,0.721,2.431,1.851,0.158,0.306,0.149,4.307,0.825,1.38021E+11
Italy,2006,6.7,10.2,3.4,24.23,11.386,2.338,1.542,1.293,0.478,0.475,0.013,6.56,0.145,2.28492E+11
Japan,2006,23.9,34.7,13.5,17.23,8.14,1.237,0.726,0.696,0.08,0.251,0.069,5.856,0.177,13627609657
Korea,2006,23.7,31.8,15.5,6.699,1.347,0.25,0.549,0.473,0.107,0.206,0,2.917,0.851,2.01532E+11
Latvia,2006,23.2,42.2,7.1,12.161,5.105,0.24,1.364,1.124,0.238,0.352,0,3.532,0.115,2.20379E+12
Lithuania,2006,35.2,61.8,12.3,13.743,5.225,0.458,1.835,1.654,0.263,0.171,0,3.947,0.188,5.75285E+12
Luxembourg,2006,15.2,23.1,7.5,21.397,5.37,1.99,3.124,3.383,0.476,0.91,0,5.555,0.415,9.75115E+11
Mexico,2006,4,6.8,1.3,6.26,0.884,0.189,0.047,0.911,0.009,0,0,2.422,0.588,37628491450
Netherlands,2006,9.6,13.2,6,16.434,5.012,0.261,2.71,1.751,1.08,0,0,3.165,0.884,49600152321
New Zealand,2006,13.1,19.4,7,18.707,4.085,0.144,2.869,3.007,0.412,0,0,6.912,0.146,27388907799
Norway,2006,12.8,18.1,7.5,19.479,5.92,0.273,4.125,2.691,0.565,0,0,4.881,0.579,1.02691E+12
Poland,2006,17.1,30.1,4.9,20.625,9.33,2.115,2.718,1.189,0.448,0,0,4.016,0.232,8.17859E+11
Portugal,2006,11.5,18.3,5.2,22.02,8.825,1.538,2.088,1.163,0.569,0,0,6.316,0.23,4.18661E+11
Slovakia,2006,14.5,25.8,3.9,15.009,5.422,0.804,1.442,1.409,0.308,0,0,4.794,0.502,1.41737E+11
Slovenia,2006,27.9,44.6,11.9,21.126,8.315,1.634,2.253,1.873,0,0,0,5.721,0.534,4.03193E+11
Spain,2006,7.5,11.6,3.5,20.516,6.346,1.918,2.458,1.181,0,0,0,5.645,0.236,2.34702E+11
Sweden,2006,15,20.2,9.8,26.456,8.577,0.545,4.987,3.217,0,0,0,6.014,0.561,77107959092
Switzerland,2006,18.8,24.5,13.4,15.388,5.592,0.544,3.215,1.485,0,0,0,2.407,0.53,46419626983
Turkey,2006,2.7,3.9,1.5,10.358,4.911,1.232,0.22,0.248,0,0,0,3.572,0.105,4.75064E+11
United Kingdom of Great Britain and Northern Ireland,2006,7.8,12,3.8,19.187,5.106,0.137,2.181,2.829,0,0,0,7.015,0.154,7.1095E+11
United States of America,2006,12.1,19.1,5.4,15.543,5.052,0.702,1.014,0.708,0,0,0,6.879,0.55,1.47417E+13
Australia,2007,10.9,16.2,5.5,15.873,4.396,0.182,2.171,2.44,0.305,0.408,0.294,5.591,0.086,1.06271E+12
Austria,2007,16,24.5,7.9,25.086,10.255,1.873,2.19,2.647,0.646,0.886,0.132,6.099,0.358,3.94121E+11
Belgium,2007,18.7,26.7,11,24.984,7.047,1.865,2.104,2.642,0.646,3.015,0.141,6.776,0.748,4.75079E+11
Canada,2007,11.5,17,6.1,16.261,3.626,0.374,0.871,1.22,0.281,0.542,0.373,6.488,2.485,1.59624E+12
Chile,2007,11,18,4.2,8.431,2.375,0.737,0.696,0.948,0.205,0.03,0.558,2.61,0.273,5.67419E+11
Denmark,2007,12.6,16.5,8.8,25.912,8.057,0.03,5.363,3.675,1.271,0,0.64,6.126,0.75,2.02601E+11
Estonia,2007,21.4,37.8,7.1,12.367,5.037,0.094,1.753,1.612,0.05,0.09,0.021,3.639,0.071,3.42405E+12
Finland,2007,19.7,30.2,9.6,22.81,8.054,0.793,3.416,2.713,0.831,1.48,0.23,4.746,0.546,3.34101E+11
France,2007,17.9,26,10.4,28.279,10.678,1.605,1.533,2.842,0.92,1.295,0.757,7.961,0.688,1.46091E+12
Germany,2007,12.4,18.7,6.3,24.208,8.337,2.056,1.788,1.821,0.853,1.349,0.632,7.231,0.144,23614406696
Greece,2007,3,5,1.1,20.135,9.659,2.017,1.512,0.84,0.164,0.543,0.079,5.319,0,2.60655E+11
Hungary,2007,25,40.1,11.3,22.419,8.183,1.316,2.698,3.223,0.342,0.663,0.895,4.972,0.127,2.66197E+12
Iceland,2007,14.8,19.3,10.3,14.488,2.188,0.019,2.121,3.351,0.045,0.18,0.575,5.458,0.552,2.54277E+12
Ireland,2007,11.5,18,5,16.226,2.742,0.778,1.894,2.319,0.613,0.999,0.35,6.182,0.348,3.32061E+11
Israel,2007,5.2,8.4,2,14.679,4.345,0.688,2.413,1.783,0.143,0.267,0.141,4.172,0.725,1.38356E+11
Italy,2007,6.7,10.2,3.3,24.054,11.542,2.302,1.561,1.321,0.434,0.422,0.017,6.305,0.152,2.40658E+11
Japan,2007,25,36.2,14.2,17.635,8.32,1.251,0.764,0.695,0.078,0.236,0.071,6.036,0.184,14903878824
Korea,2007,26.7,33.9,19.5,6.782,1.425,0.256,0.552,0.417,0.115,0.223,0,3.015,0.779,2.13168E+11
Latvia,2007,20.9,36.1,8.1,11.079,4.458,0.202,1.243,1.09,0.16,0.335,0,3.372,0.101,2.23656E+12
Lithuania,2007,34.5,61.3,11.4,14.823,5.917,0.499,2.044,1.658,0.297,0.16,0,4.094,0.153,5.84802E+12
Luxembourg,2007,14,20.4,7.8,20.211,5.234,1.881,2.812,3.16,0.461,0.859,0,5.249,0.407,1.03167E+12
Mexico,2007,4.1,6.7,1.5,6.255,0.998,0.192,0.046,0.914,0.007,0,0,2.527,0.553,41808068665
Netherlands,2007,8.4,11.8,5.1,15.742,5.083,0.238,2.788,1.235,0.985,0,0,3.153,0.949,53744023864
New Zealand,2007,12.3,18.7,6.3,18.453,4.053,0.14,2.659,3.052,0.386,0,0,6.856,0.323,30135220877
Norway,2007,11.8,16.2,7.4,19.603,6.015,0.267,4.143,2.745,0.538,0,0,4.992,0.556,1.05044E+12
Poland,2007,15.7,27.5,4.6,19.525,8.735,1.964,2.487,1.156,0.495,0,0,4.115,0.175,8.48715E+11
Portugal,2007,12.6,19.1,6.6,21.73,8.877,1.537,2.056,1.153,0.496,0,0,6.229,0.241,4.31197E+11
Slovakia,2007,14,24.7,4,14.808,5.223,0.793,1.42,1.345,0.217,0,0,4.974,0.448,1.46089E+11
Slovenia,2007,22.9,35.7,10.5,19.763,8.061,1.52,2.09,1.703,0,0,0,5.372,0.476,4.31664E+11
Spain,2007,7.4,11.2,3.7,20.897,6.617,1.9,2.468,1.228,0,0,0,5.725,0.251,2.40585E+11
Sweden,2007,14.5,20.1,9,25.369,8.406,0.508,4.699,3.175,0,0,0,5.992,0.555,85460315453
Switzerland,2007,19.5,25.8,13.5,14.776,5.533,0.526,3.106,1.424,0,0,0,2.361,0.498,49659791568
Turkey,2007,2.5,3.7,1.4,10.907,5.216,1.303,0.259,0.315,0,0,0,3.632,0.112,4.91403E+11
United Kingdom of Great Britain and Northern Ireland,2007,7.6,11.7,3.6,19.723,5.735,0.079,1.763,3.105,0,0,0,7.063,0.192,7.46807E+11
United States of America,2007,12.4,19.5,5.5,15.691,5.128,0.692,1.024,0.702,0,0,0,6.974,0.541,1.50183E+13
Australia,2008,11.6,17.9,5.3,17.051,4.449,0.176,2.313,3.277,0.312,0.444,0.262,5.696,0.123,1.10159E+12
Austria,2008,15.8,24.6,7.5,25.516,10.532,1.862,2.161,2.713,0.647,0.826,0.15,6.256,0.369,3.99877E+11
Belgium,2008,20.3,29.5,11.4,26.466,7.529,1.979,2.289,2.675,0.691,3.086,0.225,7.271,0.722,4.77202E+11
Canada,2008,11.5,17.1,6.1,16.349,3.731,0.377,0.879,1.218,0.285,0.639,0.388,6.786,2.048,1.61233E+12
Chile,2008,12.2,19.9,4.8,9.62,2.557,0.773,0.775,1.15,0.227,0.057,0.808,2.934,0.339,5.79645E+11
Denmark,2008,13.1,17.3,9,26.324,8.149,0.028,5.397,3.725,1.34,0,0.627,6.317,0.74,2.09752E+11
Estonia,2008,19.4,32.8,7.9,15.121,6.091,0.108,2.207,2.1,0.066,0.248,0.022,4.206,0.074,3.45692E+12
Finland,2008,20.6,32.1,9.5,23.323,8.187,0.786,3.493,2.778,0.781,1.385,0.4,4.931,0.582,3.3239E+11
France,2008,18.2,26.7,10.4,28.52,10.985,1.602,1.54,2.828,0.824,1.242,0.791,8.044,0.664,1.47388E+12
Germany,2008,12.5,19,6.4,24.353,8.348,2.021,1.843,1.906,0.881,1.234,0.604,7.379,0.137,22412683023
Greece,2008,3.4,5.7,1.2,21.571,10.404,2.101,1.587,0.839,0.15,0.658,0.064,5.768,0,2.62699E+11
Hungary,2008,25.4,41,11.3,22.659,8.623,1.311,2.703,3.245,0.343,0.717,0.697,4.89,0.129,2.66876E+12
Iceland,2008,14.8,20.7,8.9,14.852,2.124,0.018,2.269,3.454,0.04,0.305,0.638,5.475,0.529,2.53562E+12
Ireland,2008,12.2,18.6,5.9,19.2,3.194,0.885,2.236,2.74,0.69,1.385,0.429,7.22,0.421,3.30948E+11
Israel,2008,5.3,8.7,2,14.805,4.32,0.681,2.48,1.834,0.131,0.261,0.126,4.27,0.702,1.3982E+11
Italy,2008,6.9,10.5,3.4,24.993,11.939,2.332,1.613,1.362,0.446,0.489,0.026,6.628,0.159,2.29875E+11
Japan,2008,24.4,35.4,13.9,18.641,8.838,1.302,0.831,0.747,0.104,0.211,0.078,6.335,0.196,15200761233
Korea,2008,28.6,36.7,20.4,7.264,1.685,0.261,0.578,0.541,0.226,0.248,0,3.091,0.635,2.19555E+11
Latvia,2008,26.4,46.6,9.3,12.993,5.108,0.227,1.535,1.895,0.125,0.448,0,3.388,0.106,2.21505E+12
Lithuania,2008,37.8,67.5,12.4,16.555,6.337,0.507,2.308,2.315,0.237,0.199,0,4.479,0.171,5.78407E+12
Luxembourg,2008,13.4,19.2,7.8,21.937,5.509,1.896,2.852,4.055,0.452,0.865,0,5.709,0.415,1.06275E+12
Mexico,2008,4.4,7.1,1.7,6.704,1.116,0.198,0.046,1.018,0.011,0,0,2.617,0.518,42901108442
Netherlands,2008,9,12.4,5.6,15.479,4.999,0.218,2.779,1.447,0.944,0,0,2.861,1.085,53056322729
New Zealand,2008,12.4,18.6,6.5,19.843,4.206,0.143,2.851,3.279,0.373,0,0,7.368,0.526,29132531661
Norway,2008,11.8,15.8,7.7,19.273,5.992,0.266,3.925,2.727,0.507,0,0,4.975,0.573,1.06246E+12
Poland,2008,17,30.2,4.7,20.211,8.911,1.959,2.503,1.246,0.551,0,0,4.568,0.163,8.67135E+11
Portugal,2008,13.1,20.6,6.2,22.161,9.354,1.603,1.923,1.234,0.536,0,0,6.387,0.246,4.33251E+11
Slovakia,2008,12.7,22.3,3.6,14.889,5.097,0.779,1.424,1.3,0.253,0,0,5.243,0.341,1.44584E+11
Slovenia,2008,20.6,32.7,8.8,19.88,7.883,1.536,2.049,1.746,0,0,0,5.777,0.42,4.49794E+11
Spain,2008,7.8,12,3.6,22.326,6.977,1.943,2.523,1.332,0,0,0,6.142,0.228,2.41353E+11
Sweden,2008,15,21.2,9,25.409,8.656,0.494,4.523,3.302,0,0,0,6.166,0.583,90224630923
Switzerland,2008,18.8,24.3,13.4,14.453,5.525,0.502,2.844,1.369,0,0,0,2.517,0.442,51402771550
Turkey,2008,2.4,3.5,1.3,11.106,5.357,1.18,0.252,0.296,0,0,0,3.823,0.123,4.89189E+11
United Kingdom of Great Britain and Northern Ireland,2008,8.1,12.6,3.8,21.052,6.137,0.073,1.828,3.339,0,0,0,7.5,0.194,7.52894E+11
United States of America,2008,12.7,20,5.6,16.3,5.29,0.694,1.064,0.704,0,0,0,7.259,0.596,1.49978E+13
Australia,2009,11.2,16.9,5.6,16.869,4.298,0.176,2.331,2.667,0.345,0.541,0.347,5.934,0.229,1.12292E+12
Austria,2009,16,24.8,7.6,27.467,11.401,1.932,2.313,2.921,0.808,1.053,0.16,6.51,0.369,3.84823E+11
Belgium,2009,20.6,29.7,11.8,28.761,8.108,2.074,2.497,2.846,0.736,3.579,0.242,7.875,0.804,4.67559E+11
Canada,2009,12,18.1,5.9,18.08,4.035,0.396,0.923,1.311,0.342,0.947,0.418,7.407,2.302,1.56511E+12
Chile,2009,12.7,20.6,5,11.489,2.767,0.802,0.894,1.674,0.248,0.066,0.993,3.681,0.365,5.66765E+11
Denmark,2009,12.9,19.3,6.5,29.282,8.956,0.028,5.861,4.06,1.609,0,0.675,7.195,0.899,2.06471E+11
Estonia,2009,23.3,41.7,7.3,19.313,7.74,0.119,2.627,2.546,0.231,1.06,0.034,4.845,0.112,3.26009E+12
Finland,2009,20.4,30.3,10.9,26.902,9.672,0.879,3.908,3.119,0.87,1.873,0.468,5.373,0.738,3.16081E+11
France,2009,18.4,27,10.4,31.021,11.845,1.682,1.605,3.023,1.007,1.548,0.834,8.646,0.831,1.41841E+12
Germany,2009,12.8,19.4,6.4,26.8,8.932,2.138,2.001,2.177,0.995,1.622,0.678,8.113,0.144,19177666092
Greece,2009,3.6,6.2,1.1,23.912,11.24,2.325,1.73,0.954,0.22,0.946,0.07,6.427,0,2.41487E+11
Hungary,2009,25.4,41.1,11.1,23.25,8.768,1.309,2.726,3.395,0.465,0.848,0.669,4.947,0.124,2.59208E+12
Iceland,2009,14.3,19.9,8.5,16.994,2.021,0.019,2.496,3.642,0.035,1.544,0.899,5.677,0.662,2.42791E+12
Ireland,2009,14,22.8,5.4,23.106,3.926,1.035,2.571,3.204,0.818,2.528,0.386,8.082,0.556,3.16714E+11
Israel,2009,6,9.3,2.7,15.365,4.554,0.715,2.52,1.925,0.134,0.397,0.118,4.326,0.677,1.30453E+11
Italy,2009,7,10.8,3.4,27.023,12.791,2.518,1.765,1.507,0.452,0.771,0.031,7.01,0.179,2.18199E+11
Japan,2009,24.9,36.6,13.8,20.809,9.846,1.371,0.941,0.812,0.293,0.343,0.093,6.866,0.244,14170572950
Korea,2009,34.2,44,24.4,8.069,1.771,0.272,0.589,0.649,0.412,0.342,0,3.422,0.612,2.21584E+11
Latvia,2009,26.3,46.6,9.2,18.086,7.455,0.304,2.228,2.425,0.312,1.435,0,3.659,0.142,2.09807E+12
Lithuania,2009,39.2,70.7,12.2,21.817,8.245,0.621,2.846,3.456,0.295,0.667,0,5.33,0.355,5.47078E+12
Luxembourg,2009,11.3,16.3,6.4,24.037,6.264,2.055,2.825,4.089,0.5,1.185,0,6.294,0.486,1.07118E+12
Mexico,2009,4.6,7.5,1.8,7.262,1.35,0.199,0.051,0.989,0.012,0,0,2.861,0.555,36535180972
Netherlands,2009,9.5,13.3,5.7,17.072,5.537,0.217,3.073,1.572,1.09,0,0,3.06,1.124,50743806373
New Zealand,2009,11.5,17.8,5.5,20.892,4.385,0.157,2.757,3.502,0.388,0,0,7.8,0.543,24978314629
Norway,2009,13,18.5,7.4,22.509,6.895,0.295,4.556,3.185,0.595,0,0,5.67,0.756,1.0063E+12
Poland,2009,19.2,33.9,5.4,21.304,9.73,1.973,2.494,1.287,0.611,0,0,4.72,0.158,8.35338E+11
Portugal,2009,13.1,20.6,6.1,24.55,10.228,1.746,2.008,1.446,0.746,0,0,6.909,0.298,4.25769E+11
Slovakia,2009,13.1,24.1,2.7,17.722,6.283,0.906,1.805,1.554,0.248,0,0,5.841,0.392,1.44373E+11
Slovenia,2009,22.5,35.5,9.8,22.428,8.982,1.692,2.146,2.051,0,0,0,6.241,0.498,4.62533E+11
Spain,2009,7.6,11.8,3.5,25.613,7.887,2.098,2.64,1.487,0,0,0,6.837,0.239,2.33818E+11
Sweden,2009,15.7,22.1,9.5,27.249,9.431,0.51,4.553,3.481,0,0,0,6.597,0.659,85302396201
Switzerland,2009,16,22.9,9.3,16.036,5.959,0.528,3.118,1.481,0,0,0,2.736,0.472,47522665316
Turkey,2009,2.4,3.5,1.3,13.022,6.375,1.166,0.354,0.342,0,0,0,4.455,0.141,4.67959E+11
United Kingdom of Great Britain and Northern Ireland,2009,8,12.5,3.7,23.185,6.626,0.071,1.965,3.687,0,0,0,8.187,0.203,7.16581E+11
United States of America,2009,12.8,20,5.7,18.358,5.806,0.742,1.182,0.738,0,0,0,7.816,0.721,1.46173E+13
Australia,2010,11.7,17.7,5.7,16.561,4.282,0.164,2.329,2.558,0.326,0.503,0.367,5.787,0.246,1.14614E+12
Austria,2010,16.1,25.1,7.6,27.563,11.584,1.892,2.328,2.953,0.814,0.995,0.156,6.461,0.382,3.91893E+11
Belgium,2010,20.5,29.1,12.2,28.448,8.054,2.002,2.522,2.826,0.72,3.527,0.216,7.781,0.8,4.80952E+11
Canada,2010,12.1,17.8,6.4,17.594,3.908,0.377,0.878,1.263,0.326,0.79,0.426,7.356,2.269,1.61346E+12
Chile,2010,11.6,19.1,4.4,10.574,2.689,0.721,0.808,1.48,0.251,0.104,1.003,3.191,0.326,5.83783E+11
Denmark,2010,11.8,16.5,7.2,29.637,8.988,0.026,5.897,3.893,2.022,0,0.673,6.953,1.185,2.18538E+11
Estonia,2010,18.8,32.7,6.6,17.994,7.516,0.102,2.266,2.536,0.223,0.581,0.048,4.579,0.142,3.39635E+12
Finland,2010,18.6,28.2,9.3,27.36,9.989,0.881,3.872,3.098,0.995,1.923,0.491,5.357,0.755,3.21995E+11
France,2010,18.2,26.5,10.4,31.084,11.93,1.681,1.619,2.946,1.128,1.593,0.826,8.575,0.786,1.42072E+12
Germany,2010,13.2,20,6.8,26.046,8.678,2.058,1.978,2.177,0.894,1.467,0.662,7.991,0.142,19693608289
Greece,2010,3.5,6.3,0.7,24.806,11.851,2.382,1.834,0.97,0.231,0.929,0.053,6.557,0,2.49181E+11
Hungary,2010,25.5,41.6,11,22.998,8.863,1.273,2.377,3.387,0.628,0.796,0.516,5.038,0.12,2.64261E+12
Iceland,2010,12.8,19.7,5.8,16.44,1.957,0.019,2.422,3.538,0.061,1.451,0.972,5.332,0.688,2.47524E+12
Ireland,2010,11.9,18.5,5.4,23.781,4.631,0.465,2.612,2.95,0.896,3.178,0.739,8.001,0.309,2.99362E+11
Israel,2010,6.7,11,2.5,15.459,4.622,0.699,2.517,2.009,0.132,0.321,0.105,4.407,0.646,1.31917E+11
Italy,2010,6.9,10.8,3.2,27.004,12.989,2.493,1.729,1.35,0.417,0.817,0.03,6.995,0.184,2.22149E+11
Japan,2010,24.1,34.9,13.8,21.161,9.78,1.365,0.898,1.139,0.285,0.259,0.103,7.077,0.255,13683689693
Korea,2010,34,44.9,23,7.86,1.791,0.271,0.502,0.669,0.288,0.279,0,3.512,0.548,2.33996E+11
Latvia,2010,22.5,42.1,5.9,19.466,9.23,0.304,2.077,2.149,0.558,1.068,0,3.694,0.241,2.13402E+12
Lithuania,2010,37.2,65.8,12.9,19.466,7.344,0.538,2.249,2.851,0.303,0.559,0,4.901,0.695,5.7001E+12
Luxembourg,2010,12,17.3,6.8,23.139,6.075,1.932,2.725,3.941,0.546,1.159,0,5.97,0.492,1.14407E+12
Mexico,2010,4.5,7.5,1.7,7.368,1.443,0.201,0.052,1.04,0.011,0,0,2.907,0.525,37138464733
Netherlands,2010,9.8,13.9,5.8,17.467,5.647,0.199,3.24,1.527,1.098,0,0,3.095,1.065,53212476812
New Zealand,2010,12.6,18.3,7.2,20.625,4.449,0.149,2.565,3.436,0.357,0,0,7.781,0.435,23877564356
Norway,2010,12.4,16.7,8,22.099,6.889,0.286,4.179,3.149,0.62,0,0,5.59,0.75,1.0578E+12
Poland,2010,18.6,33.4,4.8,20.746,9.147,1.985,2.464,1.335,0.68,0,0,4.601,0.203,8.46555E+11
Portugal,2010,13.6,21.2,6.6,24.521,10.364,1.763,1.932,1.388,0.672,0,0,6.863,0.301,4.28757E+11
Slovakia,2010,13.6,23.9,3.9,17.423,6.17,0.874,1.799,1.578,0.321,0,0,5.567,0.424,1.46619E+11
Slovenia,2010,20.7,34,7.6,23.355,9.412,1.666,2.258,2.116,0,0,0,6.288,0.569,4.79834E+11
Spain,2010,6.9,10.9,3.1,24.895,7.699,2.134,2.503,1.424,0,0,0,6.788,0.189,2.37881E+11
Sweden,2010,14.7,20.8,8.7,25.907,8.934,0.453,4.135,3.389,0,0,0,6.254,0.662,90310718349
Switzerland,2010,14.5,19.9,9.2,15.716,5.927,0.512,2.852,1.503,0,0,0,2.672,0.465,48161250405
Turkey,2010,2.4,3.6,1.3,12.336,6.227,1.22,0.369,0.317,0,0,0,3.942,0.117,4.95813E+11
United Kingdom of Great Britain and Northern Ireland,2010,7.8,12.1,3.7,23.332,6.635,0.065,1.971,3.941,0,0,0,8.103,0.202,7.76968E+11
United States of America,2010,13.1,20.5,5.8,19.095,5.917,0.728,1.206,0.745,0,0,0,7.997,0.892,1.49921E+13
Australia,2011,11.2,16.8,5.7,17.015,4.531,0.155,2.392,2.571,0.307,0.509,0.38,5.912,0.258,1.17437E+12
Austria,2011,16.5,25.4,8,26.744,11.45,1.812,2.302,2.696,0.725,0.899,0.139,6.33,0.391,4.03347E+11
Belgium,2011,21.1,29.7,12.8,28.893,8.326,1.986,2.577,2.859,0.722,3.503,0.226,7.896,0.798,4.89101E+11
Canada,2011,11.3,16.5,6.1,17.078,3.944,0.34,0.843,1.224,0.263,0.647,0.348,7.243,2.227,1.66424E+12
Chile,2011,11.7,19.4,4.2,10.112,2.551,0.685,0.763,1.304,0.245,0.035,1.009,3.193,0.326,5.93665E+11
Denmark,2011,12.6,18.1,7.1,29.776,9.206,0.023,5.827,3.921,2.019,0,0.688,6.843,1.249,2.31892E+11
Estonia,2011,18.2,32.3,5.9,16.038,6.652,0.084,2.144,2.212,0.219,0.304,0.048,4.234,0.142,3.52967E+12
Finland,2011,17.9,28,8.2,27.024,10.077,0.824,3.757,3.071,0.974,1.629,0.491,5.4,0.801,3.263E+11
France,2011,18,26.6,9.9,30.776,12.057,1.67,1.63,2.888,0.931,1.498,0.818,8.518,0.766,1.40915E+12
Germany,2011,13.2,20,6.7,24.745,8.329,1.963,1.927,2.136,0.769,1.133,0.612,7.733,0.144,21159587907
Greece,2011,4.4,7.3,1.5,25.988,13.372,2.51,1.978,1.003,0.11,1.048,0.035,5.932,0.001,2.55529E+11
Hungary,2011,25.1,40.3,11.5,22.305,9.016,1.252,2.133,3.182,0.479,0.748,0.392,5.006,0.097,2.70055E+12
Iceland,2011,11.6,17.7,5.4,16.549,2.391,0.018,2.555,3.286,0.09,1.354,1.345,4.919,0.59,2.51337E+12
Ireland,2011,12.5,20.6,4.6,22.959,4.722,0.467,2.489,2.81,0.899,2.802,0.746,7.747,0.277,2.72022E+11
Israel,2011,5.7,9,2.4,15.236,4.623,0.686,2.493,1.939,0.125,0.293,0.096,4.368,0.613,1.34472E+11
Italy,2011,7.4,11.6,3.3,26.614,12.991,2.472,1.653,1.342,0.404,0.791,0.028,6.757,0.176,2.22912E+11
Japan,2011,23.4,32.8,14.3,22.196,9.956,1.383,0.939,1.199,0.31,0.255,0.111,7.6,0.443,13941164773
Korea,2011,34.5,47,21.9,7.814,1.827,0.282,0.522,0.673,0.238,0.256,0,3.519,0.496,2.45189E+11
Latvia,2011,22.7,41,7.2,16.579,7.911,0.257,1.821,1.732,0.375,0.544,0,3.535,0.254,2.14911E+12
Lithuania,2011,38.1,66.2,14.2,17.419,6.629,0.469,1.946,2.352,0.26,0.374,0,4.618,0.744,5.69352E+12
Luxembourg,2011,11.9,16.5,7.4,21.19,5.732,1.743,2.626,3.525,0.597,1.086,0,5.083,0.519,1.18623E+12
Mexico,2011,5.2,8.6,2,7.222,1.501,0.202,0.049,1.001,0.008,0,0,2.926,0.48,39381259649
Netherlands,2011,10.1,14,6.2,17.54,5.745,0.179,3.182,1.501,1.015,0,0,3.138,1.166,54563667056
New Zealand,2011,11.4,17.4,5.5,20.241,4.596,0.142,2.465,3.326,0.333,0,0,7.69,0.41,25422168166
Norway,2011,13.3,18.8,7.7,21.58,7.083,0.29,3.801,3.109,0.562,0,0,5.458,0.721,1.09655E+12
Poland,2011,18,32.5,4.4,19.556,8.754,1.858,2.393,1.288,0.407,0,0,4.418,0.151,8.59687E+11
Portugal,2011,12.3,19.8,5.4,24.402,11.002,1.777,1.937,1.208,0.579,0,0,6.455,0.247,4.32965E+11
Slovakia,2011,12.9,22.9,3.5,17.137,6.167,0.852,1.811,1.626,0.287,0,0,5.428,0.392,1.50078E+11
Slovenia,2011,21.6,34.5,8.9,23.441,9.6,1.667,2.19,2.13,0,0,0,6.268,0.554,5.02663E+11
Spain,2011,7.1,10.8,3.4,25.534,8.114,2.204,2.475,1.339,0,0,0,6.738,0.195,2.33846E+11
Sweden,2011,14.2,19.6,8.9,25.321,8.625,0.416,4.024,3.388,0,0,0,6.26,0.638,92882061539
Switzerland,2011,14.6,20.2,9.2,15.648,6.037,0.511,2.912,1.51,0,0,0,2.751,0.469,48576076611
Turkey,2011,2.2,3.3,1.2,11.858,5.794,1.377,0.405,0.33,0,0,0,3.709,0.114,5.11655E+11
United Kingdom of Great Britain and Northern Ireland,2011,8.3,12.8,3.9,23.09,6.646,0.061,1.982,3.854,0,0,0,8.065,0.172,8.63989E+11
United States of America,2011,13.4,20.9,6,18.801,6.035,0.705,1.206,0.721,0,0,0,7.982,0.914,1.52246E+13
Australia,2012,11.7,17.1,6.4,17.302,4.64,0.146,2.435,2.751,0.264,0.566,0.399,5.859,0.241,1.22038E+12
Austria,2012,16.3,25.7,7.3,27.11,11.746,1.816,2.28,2.642,0.721,0.901,0.128,6.455,0.42,4.06092E+11
Belgium,2012,20.8,30.2,11.8,28.804,8.408,1.936,2.684,2.812,0.714,3.253,0.25,8.03,0.717,4.92717E+11
Canada,2012,11.8,17.5,6.2,17.219,4.083,0.365,0.823,1.231,0.242,0.587,0.339,7.331,2.218,1.69357E+12
Chile,2012,10.5,17.5,3.8,10.21,2.449,0.686,0.741,1.368,0.235,0.017,0.997,3.366,0.351,5.99638E+11
Denmark,2012,12.8,18.8,6.9,29.927,9.394,0.021,5.814,3.804,1.942,0,0.696,6.962,1.295,2.44226E+11
Estonia,2012,21.1,36.5,7.6,15.636,6.482,0.074,2.1,2.024,0.278,0.27,0.043,4.248,0.117,3.54444E+12
