Location,Period,Suicide_per_100000,Male,Female,PSEGDP,Old_Age,Survivors,Incapacity,Family,Labour,Unemployment,Housing,Health,Other,Total_GDP
Ireland,2001,13.2,22,4.5,13.506,2.276,0.76,1.386,1.872,0.849,0.748,0.315,5.02,0.28,2.61901E+11
Israel,2001,6.4,10.4,2.5,17.409,4.685,0.787,2.308,2.57,0.227,0.649,0.356,4.53,1.298,1.11372E+11
Italy,2001,7.3,11.3,3.6,22.843,10.99,2.381,1.335,1.22,0.622,0.374,0.006,5.774,0.143,1.7667E+11
Japan,2001,23.2,33.7,13,16.097,6.969,1.168,0.728,0.604,0.275,0.572,0.043,5.594,0.144,10946230529
Korea,2001,15.6,21.6,9.5,4.788,0.95,0.193,0.355,0.133,0.202,0.12,0,2.477,0.359,1.74672E+11
Latvia,2001,32.2,56.5,11.5,14.367,7.609,0.391,1.489,1.444,0,0.425,0,2.821,0.095,2.10903E+12
Lithuania,2001,47.1,82.2,16.3,14.542,6.137,0.616,1.714,1.17,0,0.146,0,4.298,0.461,5.37067E+12
Luxembourg,2001,16.7,24.4,9.2,20.391,5.091,2.144,3.378,3.071,0.184,0.637,0,5.304,0.448,7.59757E+11
Mexico,2001,3.8,6.3,1.4,4.992,0.591,0.263,0.07,0.64,0.018,0,0,2.109,0.684,25851233310
Netherlands,2001,9.6,13,6.3,19.098,4.797,0.357,3.268,1.419,1.32,0,0,5.612,0.652,41810360200
New Zealand,2001,13.9,21.1,7,17.777,4.509,0.171,2.628,2.536,0.188,0,0,5.792,0.085,17532412592
Norway,2001,14.2,21.2,7.3,21.234,6.656,0.291,4.726,3.128,0.62,0,0,4.584,0.609,9.11515E+11
Poland,2001,17.2,30.3,4.8,21.749,9.283,2.253,3.547,1.184,0.248,0,0,4.033,0.136,7.56713E+11
Portugal,2001,8.8,14,4,18.957,6.918,1.341,2.218,1.009,0.651,0,0,5.953,0.223,3.74311E+11
Slovakia,2001,13.9,23.8,4.5,17.175,5.625,0.899,2.156,1.799,0.357,0,0,4.75,1.123,1.17164E+11
Slovenia,2001,30.9,49.5,13,21.95,10.17,0.435,2.509,2.085,0,0,0,5.629,0.41,3.31052E+11
Spain,2001,8,12.4,3.9,19.091,6.425,1.916,2.259,0.892,0,0,0,4.808,0.133,2.25507E+11
Sweden,2001,16,22,10.1,26.582,8.457,0.568,5.08,2.909,0,0,0,5.905,0.619,57424671557
Switzerland,2001,19.6,27.3,12.2,14.796,5.84,0.581,3.063,1.432,0,0,0,2.348,0.441,38026207577
Turkey,2001,3.6,5.6,1.7,8.228,3.431,0.925,0.213,0.219,0,0,0,3.312,0.12,4.04507E+11
United Kingdom of Great Britain and Northern Ireland,2001,8.3,12.9,3.9,17.713,5.073,0.24,2.218,2.485,0,0,0,5.766,0.201,4.93416E+11
United States of America,2001,11.4,18.3,4.7,14.689,4.969,0.797,0.917,0.822,0,0,0,6.015,0.47,1.27463E+13
Australia,2002,11.3,17.4,5.3,17.348,4.884,0.231,2.527,2.795,0.335,0.773,0.231,5.417,0.154,9.00166E+11
Austria,2002,19.3,30.4,8.9,26.047,10.35,2.153,2.58,2.895,0.537,1.069,0.117,6.011,0.333,3.46387E+11
Belgium,2002,20.9,30.2,12,24.502,6.948,2.091,2.129,2.606,0.737,3.007,0.054,6.139,0.792,4.17298E+11
Canada,2002,11.9,18.4,5.7,16.152,3.75,0.42,0.978,1.05,0.378,0.746,0.488,6.057,2.286,1.266E+12
Chile,2002,9.6,16.5,3,10.155,3.494,1.051,0.872,1.022,0.26,0.05,0.42,2.728,0.258,4.94345E+11
Denmark,2002,14.9,20.5,9.4,24.804,8.034,0.01,4.196,3.556,1.802,0,0.649,5.536,1.02,1.53937E+11
Estonia,2002,29.3,51.2,10.2,12.758,5.403,0.154,1.654,1.574,0,0.085,0.079,3.559,0.25,3.16481E+12
Finland,2002,22,33.6,11,23.192,7.71,0.891,3.668,2.795,0.794,2.063,0.277,4.478,0.515,3.02078E+11
France,2002,19.8,28.2,11.9,28.409,10.164,1.717,1.785,2.916,1.091,1.642,0.847,7.935,0.313,1.23052E+12
Germany,2002,14.6,21.5,7.9,26.163,8.75,2.429,2.113,2.084,1.269,1.49,0.323,7.575,0.129,15911026263
Greece,2002,2.9,4.7,1.2,18.359,8.717,1.771,1.398,0.726,0.174,0.594,0,4.978,0,2.18257E+11
Hungary,2002,28.6,46.4,12.5,20.8,7.378,1.11,2.765,2.946,0.498,0.504,0.454,4.954,0.191,2.40684E+12
Iceland,2002,12.2,18.3,6.2,15.901,3.599,0.034,2.3,2.587,0.082,0.326,0.157,6.306,0.511,2.21364E+12
Ireland,2002,12.2,20,4.5,14.399,2.375,0.772,1.472,2.192,0.774,0.871,0.337,5.272,0.334,2.72175E+11
Israel,2002,5.9,8.9,2.9,17.388,4.714,0.78,2.481,2.421,0.225,0.632,0.289,4.575,1.271,1.16652E+11
Italy,2002,7.4,11.6,3.5,23.272,11.1,2.4,1.518,1.119,0.689,0.401,0.007,5.897,0.142,1.87129E+11
Japan,2002,23.8,34.9,13.1,16.441,7.352,1.197,0.686,0.637,0.238,0.53,0.049,5.595,0.157,11020793077
Korea,2002,19,25.9,12,4.654,0.933,0.2,0.381,0.13,0.171,0.106,0,2.353,0.379,1.74646E+11
